#SUBNET
s10,10.0.0.0/8
s20,20.0.0.0/8
s30,30.0.0.0/8
s40,40.0.0.0/8
s41,41.0.0.0/8
s42,42.0.0.0/8
s50,50.0.0.0/8
s70,70.0.0.0/8
s71,71.0.0.0/8
s90,90.0.0.0/8
#ROUTER
r1,3,10.0.0.1/8,100.0.0.1/16,100.10.0.1/16
r2,3,20.0.0.1/8,100.0.0.2/16,100.20.0.1/16
r3,5,100.10.0.2/16,100.20.0.2/16,30.0.0.1/8,100.30.0.1/16,100.40.0.1/16
r4,5,100.40.0.2/16,100.60.0.1/16,40.0.0.1/8,41.0.0.1/8,42.0.0.1/8
r5,3,100.30.0.2/16,100.50.0.1/16,50.0.0.1/8
r6,4,100.60.0.2/16,100.50.0.2/16,100.70.0.1/16,100.80.0.1/16
r7,3,100.70.0.2/16,70.0.0.1/8,71.0.0.1/8
r8,2,100.80.0.2/16,100.90.0.1/16
r9,2,100.90.0.2/16,90.0.0.1/8
#ROUTERTABLE
r1,10.0.0.0/8,0.0.0.0,0
r1,20.0.0.0/8,100.0.0.2,1
r1,30.0.0.0/8,100.10.0.2,2
r1,40.0.0.0/8,100.10.0.2,2
r1,41.0.0.0/8,100.10.0.2,2
r1,42.0.0.0/8,100.10.0.2,2
r1,50.0.0.0/8,100.10.0.2,2
r1,70.0.0.0/8,100.10.0.2,2
r1,71.0.0.0/8,100.10.0.2,2
r1,90.0.0.0/8,100.10.0.2,2
r2,10.0.0.0/8,100.0.0.1,0
r2,20.0.0.0/8,0.0.0.0,1
r2,30.0.0.0/8,100.20.0.2,2
r2,40.0.0.0/8,100.20.0.2,2
r2,41.0.0.0/8,100.20.0.2,2
r2,42.0.0.0/8,100.20.0.2,2
r2,50.0.0.0/8,100.20.0.2,2
r2,70.0.0.0/8,100.20.0.2,2
r2,71.0.0.0/8,100.20.0.2,2
r2,90.0.0.0/8,100.20.0.2,2
r3,10.0.0.0/8,100.10.0.1,0
r3,20.0.0.0/8,100.20.0.1,1
r3,30.0.0.0/8,0.0.0.0,2
r3,40.0.0.0/8,100.40.0.2,3
r3,41.0.0.0/8,100.40.0.2,3
r3,42.0.0.0/8,100.40.0.2,3
r3,50.0.0.0/8,100.30.0.2,4
r3,70.0.0.0/8,100.30.0.2,4
r3,71.0.0.0/8,100.30.0.2,4
r3,90.0.0.0/8,100.30.0.2,4
r4,10.0.0.0/8,100.40.0.1,0
r4,20.0.0.0/8,100.40.0.1,0
r4,30.0.0.0/8,100.40.0.1,0
r4,40.0.0.0/8,0.0.0.0,1
r4,41.0.0.0/8,0.0.0.0,2
r4,42.0.0.0/8,0.0.0.0,3
r4,50.0.0.0/8,100.40.0.1,0
r4,70.0.0.0/8,100.60.0.2,4
r4,71.0.0.0/8,100.60.0.2,4
r4,90.0.0.0/8,100.60.0.2,4
r5,10.0.0.0/8,100.30.0.1,0
r5,20.0.0.0/8,100.30.0.1,0
r5,30.0.0.0/8,100.30.0.1,0
r5,40.0.0.0/8,100.50.0.2,1
r5,41.0.0.0/8,100.50.0.2,1
r5,42.0.0.0/8,100.50.0.2,1
r5,50.0.0.0/8,0.0.0.0,2
r5,70.0.0.0/8,100.50.0.2,1
r5,71.0.0.0/8,100.50.0.2,1
r5,90.0.0.0/8,100.50.0.2,1
r6,10.0.0.0/8,100.60.0.1,0
r6,20.0.0.0/8,100.60.0.1,0
r6,30.0.0.0/8,100.60.0.1,0
r6,40.0.0.0/8,100.60.0.1,0
r6,41.0.0.0/8,100.60.0.1,0
r6,42.0.0.0/8,100.60.0.1,0
r6,50.0.0.0/8,100.50.0.1,1
r6,70.0.0.0/8,100.70.0.2,2
r6,71.0.0.0/8,100.70.0.2,2
r6,90.0.0.0/8,100.80.0.2,3
r7,10.0.0.0/8,100.70.0.1,0
r7,20.0.0.0/8,100.70.0.1,0
r7,30.0.0.0/8,100.70.0.1,0
r7,40.0.0.0/8,100.70.0.1,0
r7,41.0.0.0/8,100.70.0.1,0
r7,42.0.0.0/8,100.70.0.1,0
r7,50.0.0.0/8,100.70.0.1,0
r7,70.0.0.0/8,0.0.0.0,1
r7,71.0.0.0/8,0.0.0.0,2
r7,90.0.0.0/8,100.70.0.1,0
r8,10.0.0.0/8,100.80.0.1,0
r8,20.0.0.0/8,100.80.0.1,0
r8,30.0.0.0/8,100.80.0.1,0
r8,40.0.0.0/8,100.80.0.1,0
r8,41.0.0.0/8,100.80.0.1,0
r8,42.0.0.0/8,100.80.0.1,0
r8,50.0.0.0/8,100.80.0.1,0
r8,70.0.0.0/8,100.80.0.1,0
r8,71.0.0.0/8,100.80.0.1,0
r8,90.0.0.0/8,100.90.0.2,1
r9,10.0.0.0/8,100.90.0.1,0
r9,20.0.0.0/8,100.90.0.1,0
r9,30.0.0.0/8,100.90.0.1,0
r9,40.0.0.0/8,100.90.0.1,0
r9,41.0.0.0/8,100.90.0.1,0
r9,42.0.0.0/8,100.90.0.1,0
r9,50.0.0.0/8,100.90.0.1,0
r9,70.0.0.0/8,100.90.0.1,0
r9,71.0.0.0/8,100.90.0.1,0
r9,90.0.0.0/8,0.0.0.0,1
